attendance_percent,avg_grade,assignments_submitted,previous_failures,disengaged,feedback_text
92,95.0,10.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments consistently. I have no previous failures.
96,75.0,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
96,35.0,5.0,1,1,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I had previous failures and confidence is low.
96,62.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,60.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
88,55.00000000000001,3.0,1,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I had previous failures and confidence is low.
100,45.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
88,57.49999999999999,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
84,42.5,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
100,72.5,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
92,72.5,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
96,47.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,77.5,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
88,52.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
88,45.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
92,45.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,47.5,8.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
100,50.0,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,77.5,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
92,65.0,10.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
92,35.0,10.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I have no previous failures.
96,42.5,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
76,80.0,9.0,0,0,I attend most classes but still miss some sessions. my grades are mostly good. I submit assignments consistently. I have no previous failures.
100,70.0,10.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments consistently. I have no previous failures.
100,50.0,10.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
96,35.0,5.0,2,1,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I had previous failures and confidence is low.
96,60.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
0,57.49999999999999,1.0,0,0,I miss classes often and struggle to keep up. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
88,45.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
84,55.00000000000001,9.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
100,55.00000000000001,10.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
96,40.0,2.0,3,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
76,25.0,5.0,0,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
96,55.00000000000001,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
92,52.5,7.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
80,32.5,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
92,75.0,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
96,47.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
88,40.0,5.0,2,1,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I had previous failures and confidence is low.
92,37.5,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
92,67.5,7.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
76,52.5,5.0,1,1,I attend most classes but still miss some sessions. my performance is average but unstable. I submit assignments but not always on time. I had previous failures and confidence is low.
64,35.0,4.0,0,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
100,35.0,8.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I have no previous failures.
92,82.5,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
92,32.5,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
100,52.5,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
88,60.0,10.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
96,42.5,10.0,1,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I had previous failures and confidence is low.
96,65.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
96,42.5,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
88,62.5,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,40.0,8.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I have no previous failures.
72,35.0,2.0,0,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
100,82.5,8.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments consistently. I have no previous failures.
92,57.49999999999999,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
48,32.5,3.0,0,1,I miss classes often and struggle to keep up. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
100,85.0,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
80,52.5,9.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
84,37.5,9.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I have no previous failures.
96,85.0,8.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments consistently. I have no previous failures.
88,57.49999999999999,10.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
92,72.5,7.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
88,92.5,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
100,42.5,8.0,1,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I had previous failures and confidence is low.
88,57.49999999999999,5.0,1,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I had previous failures and confidence is low.
80,92.5,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
84,45.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,75.0,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
96,60.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,67.5,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
60,40.0,4.0,1,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
88,67.5,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
96,77.5,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
88,75.0,10.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments consistently. I have no previous failures.
96,65.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
64,62.5,2.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,37.5,6.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
100,65.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,42.5,6.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
96,37.5,4.0,3,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
100,27.500000000000004,3.0,2,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
84,90.0,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
100,30.0,8.0,2,1,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I had previous failures and confidence is low.
100,20.0,3.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
76,57.49999999999999,2.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
68,57.49999999999999,2.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,22.5,6.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
100,27.500000000000004,8.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I have no previous failures.
100,25.0,6.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
100,10.0,3.0,2,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
100,65.0,6.0,1,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I had previous failures and confidence is low.
100,80.0,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
100,40.0,10.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I have no previous failures.
84,45.0,3.0,2,1,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I had previous failures and confidence is low.
96,50.0,8.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
96,70.0,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
100,12.5,3.0,3,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
100,47.5,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,32.5,6.0,3,1,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I had previous failures and confidence is low.
96,52.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,32.5,2.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
100,42.5,3.0,3,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
100,27.500000000000004,2.0,3,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
88,62.5,3.0,1,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I had previous failures and confidence is low.
84,50.0,7.0,2,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I had previous failures and confidence is low.
100,12.5,2.0,3,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
100,55.00000000000001,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
96,47.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
84,70.0,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
88,42.5,3.0,3,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
96,80.0,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
92,55.00000000000001,5.0,1,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I had previous failures and confidence is low.
100,32.5,2.0,2,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
88,35.0,5.0,2,1,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I had previous failures and confidence is low.
100,17.5,3.0,1,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
96,50.0,2.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,32.5,4.0,3,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
68,57.49999999999999,1.0,1,1,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I had previous failures and confidence is low.
92,50.0,4.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,72.5,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,32.5,6.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
100,70.0,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,27.500000000000004,3.0,2,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
96,70.0,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,60.0,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,37.5,6.0,3,1,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I had previous failures and confidence is low.
92,52.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
92,47.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,65.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
92,27.500000000000004,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
80,45.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
92,50.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
80,42.5,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
96,62.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,82.5,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
0,45.0,1.0,0,1,I miss classes often and struggle to keep up. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
72,62.5,4.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
76,60.0,5.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,57.49999999999999,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,75.0,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
88,37.5,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
92,42.5,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
80,57.49999999999999,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,40.0,6.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
76,37.5,5.0,0,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
84,42.5,3.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
100,67.5,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,72.5,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
92,80.0,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
84,45.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
52,90.0,1.0,1,1,I miss classes often and struggle to keep up. my grades are mostly good. I submit few assignments and need support. I had previous failures and confidence is low.
100,45.0,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,80.0,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
88,45.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
92,45.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
64,32.5,2.0,0,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
88,50.0,10.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
44,47.5,5.0,1,1,I miss classes often and struggle to keep up. my performance is average but unstable. I submit assignments but not always on time. I had previous failures and confidence is low.
90,35.0,5.0,3,1,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I had previous failures and confidence is low.
80,57.49999999999999,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
88,45.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
88,35.0,7.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
80,40.0,9.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I have no previous failures.
74,60.0,5.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,62.5,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
70,32.5,4.0,1,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
76,45.0,2.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
96,72.5,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
56,30.0,4.0,2,1,I miss classes often and struggle to keep up. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
74,30.0,5.0,1,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit assignments but not always on time. I had previous failures and confidence is low.
94,35.0,3.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
92,47.5,7.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,30.0,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
100,27.500000000000004,8.0,1,1,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I had previous failures and confidence is low.
96,80.0,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,62.5,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,65.0,8.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
68,42.5,4.0,1,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
80,77.5,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
96,57.49999999999999,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
72,45.0,4.0,0,1,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
80,55.00000000000001,7.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
72,65.0,4.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
92,55.00000000000001,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
72,50.0,4.0,0,1,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
96,67.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
64,40.0,4.0,0,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
80,50.0,7.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
92,67.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
60,62.5,2.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
96,60.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,35.0,4.0,1,1,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
72,60.0,4.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
96,52.5,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,15.0,3.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
100,62.5,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,17.5,8.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments consistently. I have no previous failures.
88,90.0,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
92,60.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
